time_,run no,cellno_db,compno,cell_no,layer,volume,elevation (top),area (top),MeHg (unfilt),MeHg (diss),MeHg (solids),MeHg (phyto),MeHg (zoo),HgII (unfilt),HgII (diss),HgII (solids),HgInert,HgII (phyto),Hg (zoo),Hg0,MeHg Mass,HgII mass,HgInert mass,mass Hg0
36580.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.148771e-001,1.080308e-001,8.557885e-003,0.000000e+000,0.000000e+000,2.468126e+000,2.350711e+000,1.467678e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.730774e-002,1.406119e+005,3.021035e+006,0.000000e+000,4.566542e+004
36585.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.142644e-001,9.695092e-002,7.680331e-003,1.193728e-002,4.774911e-002,2.461627e+000,2.358545e+000,1.472600e-001,0.000000e+000,6.532762e-016,1.633190e-016,3.630173e-002,1.641086e+005,3.535432e+006,0.000000e+000,5.213718e+004
36585.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.151520e-001,1.082893e-001,8.578309e-003,0.000000e+000,0.000000e+000,2.469788e+000,2.352295e+000,1.468657e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.658324e-002,1.409483e+005,3.023070e+006,0.000000e+000,4.477862e+004
36590.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.145215e-001,9.716909e-002,7.697568e-003,1.196414e-002,4.785658e-002,2.463212e+000,2.360064e+000,1.473539e-001,0.000000e+000,6.536971e-016,1.634243e-016,3.560418e-002,1.644778e+005,3.537708e+006,0.000000e+000,5.113535e+004
36590.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.154127e-001,1.085346e-001,8.597684e-003,0.000000e+000,0.000000e+000,2.471389e+000,2.353821e+000,1.469601e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.587827e-002,1.412675e+005,3.025029e+006,0.000000e+000,4.391572e+004
36595.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.147669e-001,9.737732e-002,7.714019e-003,1.198979e-002,4.795914e-002,2.464764e+000,2.361552e+000,1.474460e-001,0.000000e+000,6.541093e-016,1.635273e-016,3.492544e-002,1.648303e+005,3.539937e+006,0.000000e+000,5.016052e+004
36595.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.156611e-001,1.087682e-001,8.616142e-003,0.000000e+000,0.000000e+000,2.472948e+000,2.355306e+000,1.470519e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.519231e-002,1.415715e+005,3.026937e+006,0.000000e+000,4.307609e+004
36600.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.149996e-001,9.757479e-002,7.729618e-003,1.201410e-002,4.805641e-002,2.466255e+000,2.362981e+000,1.475344e-001,0.000000e+000,6.545055e-016,1.636264e-016,3.426500e-002,1.651645e+005,3.542079e+006,0.000000e+000,4.921199e+004
36600.000000,1,79,95,1,2,1.224020e+006,8.950000e+000,2.842000e+005,1.158970e-001,1.089901e-001,8.633670e-003,0.000000e+000,0.000000e+000,2.474455e+000,2.356742e+000,1.471408e-001,0.000000e+000,0.000000e+000,0.000000e+000,3.452485e-002,1.418603e+005,3.028782e+006,0.000000e+000,4.225911e+004
36605.000000,1,79,86,1,1,1.436218e+006,1.295000e+001,4.395000e+005,1.152204e-001,9.776218e-002,7.744421e-003,1.203718e-002,4.814871e-002,2.467694e+000,2.364360e+000,1.476197e-001,0.000000e+000,6.548875e-016,1.637219e-016,3.362237e-002,1.654816e+005,3.544145e+006,0.000000e+000,4.828904e+004
